"Date","Open","High","Low","Close"
"Tue Jan 01 2008 00:00:00 GMT+0530 (India Standard Time)","266.30","269.50","182.50","218.80"
"Fri Feb 01 2008 00:00:00 GMT+0530 (India Standard Time)","220.50","246.75","205.30","218.60"
"Mon Mar 03 2008 00:00:00 GMT+0530 (India Standard Time)","217.40","224.75","188.75","202.70"
"Tue Apr 01 2008 00:00:00 GMT+0530 (India Standard Time)","203.75","259.70","202.75","229.90"
"Thu May 01 2008 00:00:00 GMT+0530 (India Standard Time)","232.50","262.00","218.70","257.30"
"Mon Jun 02 2008 00:00:00 GMT+0530 (India Standard Time)","257.00","263.50","205.80","214.70"
"Tue Jul 01 2008 00:00:00 GMT+0530 (India Standard Time)","214.70","222.50","179.80","208.15"
"Fri Aug 01 2008 00:00:00 GMT+0530 (India Standard Time)","207.25","217.50","195.60","203.10"
"Mon Sep 01 2008 00:00:00 GMT+0530 (India Standard Time)","202.50","218.75","143.75","165.70"
"Wed Oct 01 2008 00:00:00 GMT+0530 (India Standard Time)","167.50","170.70","104.50","134.35"
"Mon Nov 03 2008 00:00:00 GMT+0530 (India Standard Time)","140.00","142.50","114.00","139.50"
"Mon Dec 01 2008 00:00:00 GMT+0530 (India Standard Time)","142.25","147.90","115.00","119.50"
"Thu Jan 01 2009 00:00:00 GMT+0530 (India Standard Time)","121.25","139.20","116.55","128.00"
"Mon Feb 02 2009 00:00:00 GMT+0530 (India Standard Time)","126.75","131.70","114.00","120.15"
"Mon Mar 02 2009 00:00:00 GMT+0530 (India Standard Time)","118.75","146.25","109.80","135.00"
"Wed Apr 01 2009 00:00:00 GMT+0530 (India Standard Time)","126.30","156.80","126.30","155.80"
"Fri May 01 2009 00:00:00 GMT+0530 (India Standard Time)","150.00","198.70","150.00","174.95"
"Mon Jun 01 2009 00:00:00 GMT+0530 (India Standard Time)","170.00","201.25","170.00","194.85"
"Wed Jul 01 2009 00:00:00 GMT+0530 (India Standard Time)","190.00","270.05","184.00","249.90"
"Mon Aug 03 2009 00:00:00 GMT+0530 (India Standard Time)","263.50","279.95","217.80","263.50"
"Tue Sep 01 2009 00:00:00 GMT+0530 (India Standard Time)","262.50","310.95","261.10","309.70"
"Thu Oct 01 2009 00:00:00 GMT+0530 (India Standard Time)","310.00","328.40","278.30","313.10"
"Mon Nov 02 2009 00:00:00 GMT+0530 (India Standard Time)","312.50","355.70","301.10","335.80"
"Tue Dec 01 2009 00:00:00 GMT+0530 (India Standard Time)","348.00","378.00","338.70","374.90"
"Fri Jan 01 2010 00:00:00 GMT+0530 (India Standard Time)","375.35","408.20","348.30","367.70"
"Mon Feb 01 2010 00:00:00 GMT+0530 (India Standard Time)","367.70","388.50","354.80","380.50"
"Mon Mar 01 2010 00:00:00 GMT+0530 (India Standard Time)","381.55","422.00","377.90","390.40"
"Thu Apr 01 2010 00:00:00 GMT+0530 (India Standard Time)","393.45","417.45","365.00","383.00"
